#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr   mn     m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2018 01 01 00 00     2.1 10.40 999.00 11.90 107.3 11.10 999.00    99 99.00 99.00
2018 01 01 00 30     2.1 10.40 999.00 11.90 107.0 11.10 999.00    99 99.00 99.00
2018 01 01 01 00     2.1 11.90 999.00 18.80 103.1  9.90 999.00    99 99.00 99.00
2018 01 01 01 30     2.1 13.00 999.00 23.50  99.0  9.00 999.00    99 99.00 99.00
2018 01 01 02 00     2.1 13.70 999.00 26.30  96.9  8.50 999.00    99 99.00 99.00
2018 01 01 02 30     2.1 12.30 999.00 20.40 101.4  9.60 999.00    99 99.00 99.00
2018 01 01 03 00     2.1 13.10 999.00 24.40  98.4  8.90 999.00    99 99.00 99.00
2018 01 01 03 30     2.1 13.20 999.00 24.50  99.0  8.90 999.00    99 99.00 99.00
2018 01 01 04 00     2.2 10.10 999.00 14.70 105.5 10.80 999.00    99 99.00 99.00
2018 01 01 04 30     2.1  9.90 999.00 14.40 105.4 10.90 999.00    99 99.00 99.00
2018 01 01 05 00     2.1  9.70 999.00 14.60 105.7 11.00 999.00    99 99.00 99.00
2018 01 01 05 30     2.1  9.50 999.00 14.70 105.5 11.00 999.00    99 99.00 99.00
2018 01 01 06 00     2.1  9.40 999.00 14.50 105.6 11.00 999.00    99 99.00 99.00
2018 01 01 06 30     2.0  9.30 999.00 14.80 105.7 11.00 999.00    99 99.00 99.00
2018 01 01 07 00     2.0  9.00 999.00 14.50 105.8 11.10 999.00    99 99.00 99.00
2018 01 01 07 30     2.0  9.00 999.00 14.30 106.1 11.20 999.00    99 99.00 99.00
2018 01 01 08 00     1.9  8.80 999.00 14.10 106.0 11.20 999.00    99 99.00 99.00
2018 01 01 08 30     1.9  8.70 999.00 13.90 106.4 11.30 999.00    99 99.00 99.00
2018 01 01 09 00     1.8  8.50 999.00 13.70 106.2 11.40 999.00    99 99.00 99.00
2018 01 01 09 30     1.8  8.30 999.00 12.70 106.8 11.60 999.00    99 99.00 99.00
2018 01 01 10 00     1.7  8.10 999.00 12.50 106.7 11.60 999.00    99 99.00 99.00
2018 01 01 10 30     1.7  7.80 999.00 12.40 106.8 11.70 999.00    99 99.00 99.00
2018 01 01 11 00     1.7  7.60 999.00 12.40 107.2 11.80 999.00    99 99.00 99.00
2018 01 01 11 30     1.6  7.40 999.00 12.50 106.7 11.80 999.00    99 99.00 99.00
2018 01 01 12 00     1.6  7.30 999.00 12.50 106.4 11.80 999.00    99 99.00 99.00
2018 01 01 12 30     1.6  7.10 999.00 12.60 106.3 11.90 999.00    99 99.00 99.00
2018 01 01 13 00     1.6  6.90 999.00 12.60 106.7 12.00 999.00    99 99.00 99.00
2018 01 01 13 30     1.6  6.70 999.00 12.60 107.1 12.10 999.00    99 99.00 99.00
2018 01 01 14 00     1.5  6.50 999.00 12.60 107.1 12.10 999.00    99 99.00 99.00
2018 01 01 14 30     1.5  6.00 999.00 12.60 107.6 12.30 999.00    99 99.00 99.00
2018 01 01 15 00     1.5  5.90 999.00 12.60 107.9 12.40 999.00    99 99.00 99.00
2018 01 01 15 30     1.5  7.00 999.00 12.70 105.4 11.80 999.00    99 99.00 99.00
2018 01 01 16 00     1.6  7.00 999.00 12.70 106.6 11.90 999.00    99 99.00 99.00
2018 01 01 16 30     1.6  7.50 999.00 13.00 105.9 11.70 999.00    99 99.00 99.00
2018 01 01 17 00     1.6  7.70 999.00 13.30 106.2 11.60 999.00    99 99.00 99.00
2018 01 01 17 30     1.6  6.20 999.00 13.30 109.3 12.40 999.00    99 99.00 99.00
2018 01 01 18 00     1.6  6.70 999.00 13.00 107.8 12.10 999.00    99 99.00 99.00
2018 01 01 18 30     1.6  6.60 999.00 12.80 108.0 12.20 999.00    99 99.00 99.00
2018 01 01 19 00     1.7  6.60 999.00 12.80 108.2 12.20 999.00    99 99.00 99.00
2018 01 01 19 30     1.7  8.70 999.00 16.90 104.9 11.00 999.00    99 99.00 99.00
2018 01 01 20 00     1.7  9.00 999.00 17.50 105.2 10.90 999.00    99 99.00 99.00
2018 01 01 20 30     1.7  7.70 999.00 15.20 108.1 11.70 999.00    99 99.00 99.00
2018 01 01 21 00     1.8  8.90 999.00 17.50 106.0 11.00 999.00    99 99.00 99.00
2018 01 01 21 30     1.8  7.30 999.00 16.00 108.8 11.80 999.00    99 99.00 99.00
2018 01 01 22 00     1.8  9.30 999.00 20.50 104.0 10.50 999.00    99 99.00 99.00
2018 01 01 22 30     1.9 12.10 999.00 26.50  97.2  8.90 999.00    99 99.00 99.00
2018 01 01 23 00     1.9 12.40 999.00 27.20  98.2  8.80 999.00    99 99.00 99.00
2018 01 01 23 30     1.9 12.80 999.00 28.20  97.2  8.60 999.00    99 99.00 99.00
2018 01 02 00 00     1.9 12.90 999.00 28.80  97.3  8.60 999.00    99 99.00 99.00
2018 01 02 00 30     2.0 13.00 999.00 29.20  96.9  8.50 999.00    99 99.00 99.00
2018 01 02 01 00     2.0 11.30 999.00 26.30 102.4  9.50 999.00    99 99.00 99.00
2018 01 02 01 30     2.0 12.50 999.00 29.20 101.5  9.00 999.00    99 99.00 99.00
2018 01 02 02 00     2.0 13.30 999.00 30.40  98.3  8.50 999.00    99 99.00 99.00
2018 01 02 02 30     2.0  6.90 999.00 16.90 107.6 11.70 999.00    99 99.00 99.00
2018 01 02 03 00     2.1  5.70 999.00 14.90 107.6 12.20 999.00    99 99.00 99.00
2018 01 02 03 30     2.1  5.30 999.00 14.10 107.3 12.40 999.00    99 99.00 99.00
2018 01 02 04 00     2.1  5.10 999.00 13.80 107.7 12.50 999.00    99 99.00 99.00
2018 01 02 04 30     2.1  5.30 999.00 13.60 107.2 12.40 999.00    99 99.00 99.00
2018 01 02 05 00     2.0  5.10 999.00 13.60 107.7 12.50 999.00    99 99.00 99.00
2018 01 02 05 30     2.0 99.00 999.00 13.80 107.4 12.50 999.00    99 99.00 99.00
2018 01 02 06 00     2.0 99.00 999.00 13.80 107.1 12.50 999.00    99 99.00 99.00
2018 01 02 06 30     2.0 99.00 999.00 13.90 107.5 12.60 999.00    99 99.00 99.00
2018 01 02 07 00     1.9 99.00 999.00 13.90 107.6 12.60 999.00    99 99.00 99.00
2018 01 02 07 30     1.9 99.00 999.00 14.00 107.2 12.50 999.00    99 99.00 99.00
2018 01 02 08 00     1.8  5.50 999.00 14.10 107.6 12.30 999.00    99 99.00 99.00
2018 01 02 08 30     1.8  5.50 999.00 14.10 107.6 12.40 999.00    99 99.00 99.00
2018 01 02 09 00     1.8  5.50 999.00 13.90 107.3 12.30 999.00    99 99.00 99.00
2018 01 02 09 30     1.7  5.50 999.00 13.80 106.9 12.30 999.00    99 99.00 99.00
2018 01 02 10 00     1.7  5.50 999.00 13.70 106.6 12.30 999.00    99 99.00 99.00
2018 01 02 10 30     1.7  5.20 999.00 13.50 106.9 12.40 999.00    99 99.00 99.00
2018 01 02 11 00     1.6  5.20 999.00 12.90 106.5 12.40 999.00    99 99.00 99.00
2018 01 02 11 30     1.6  5.10 999.00 13.00 106.6 12.50 999.00    99 99.00 99.00
2018 01 02 12 00     1.6  5.10 999.00 12.70 106.0 12.40 999.00    99 99.00 99.00
2018 01 02 12 30     1.6 99.00 999.00 12.50 106.5 12.50 999.00    99 99.00 99.00
2018 01 02 13 00     1.5 99.00 999.00 12.50 106.1 12.50 999.00    99 99.00 99.00
2018 01 02 13 30     1.5 99.00 999.00 12.60 106.6 12.50 999.00    99 99.00 99.00
2018 01 02 14 00     1.5  5.00 999.00 12.90 106.3 12.50 999.00    99 99.00 99.00
2018 01 02 14 30     1.5  5.20 999.00 13.10 106.4 12.40 999.00    99 99.00 99.00
2018 01 02 15 00     1.5  5.50 999.00 13.30 107.5 12.40 999.00    99 99.00 99.00
2018 01 02 15 30     1.5  5.60 999.00 13.20 107.0 12.30 999.00    99 99.00 99.00
2018 01 02 16 00     1.5  5.60 999.00 13.10 107.7 12.40 999.00    99 99.00 99.00
2018 01 02 16 30     1.5  5.90 999.00 13.20 106.9 12.20 999.00    99 99.00 99.00
2018 01 02 17 00     1.5  7.00 999.00 15.20 104.3 11.50 999.00    99 99.00 99.00
2018 01 02 17 30     1.5  6.90 999.00 16.20 105.4 11.50 999.00    99 99.00 99.00
2018 01 02 18 00     1.5  6.90 999.00 16.20 105.4 11.50 999.00    99 99.00 99.00
2018 01 02 18 30     1.6  7.00 999.00 15.90 105.9 11.60 999.00    99 99.00 99.00
2018 01 02 19 00     1.6  7.00 999.00 16.10 105.8 11.60 999.00    99 99.00 99.00
2018 01 02 19 30     1.6  7.00 999.00 16.00 106.2 11.60 999.00    99 99.00 99.00
2018 01 02 20 00     1.6  6.50 999.00 14.40 107.4 12.00 999.00    99 99.00 99.00
2018 01 02 20 30     1.7  7.70 999.00 19.00 105.5 11.10 999.00    99 99.00 99.00
2018 01 02 21 00     1.7  9.80 999.00 25.10 101.4  9.80 999.00    99 99.00 99.00
2018 01 02 21 30     1.8  9.40 999.00 24.30 105.1 10.30 999.00    99 99.00 99.00
2018 01 02 22 00     1.8 11.90 999.00 29.50  99.5  8.90 999.00    99 99.00 99.00
2018 01 02 22 30     1.8 12.80 999.00 30.70 101.5  8.90 999.00    99 99.00 99.00
2018 01 02 23 00     1.8 12.60 999.00 30.50 101.7  8.90 999.00    99 99.00 99.00
2018 01 02 23 30     1.9 12.40 999.00 30.00 102.4  9.10 999.00    99 99.00 99.00
2018 01 03 00 00     1.9 12.50 999.00 29.90 102.8  9.10 999.00    99 99.00 99.00
2018 01 03 00 30     1.9 12.70 999.00 30.50 104.0  9.10 999.00    99 99.00 99.00
2018 01 03 01 00     2.0 13.20 999.00 31.30 103.5  8.90 999.00    99 99.00 99.00
2018 01 03 01 30     2.0 13.30 999.00 31.40 103.7  8.90 999.00    99 99.00 99.00
2018 01 03 02 00     2.0 13.30 999.00 31.50 103.9  9.00 999.00    99 99.00 99.00
2018 01 03 02 30     2.0 13.20 999.00 31.40 103.8  9.00 999.00    99 99.00 99.00
2018 01 03 03 00     2.1 13.20 999.00 31.40 103.5  8.90 999.00    99 99.00 99.00
2018 01 03 03 30     2.1 13.30 999.00 31.70 103.1  8.90 999.00    99 99.00 99.00
2018 01 03 04 00     2.1 13.30 999.00 32.00 102.6  8.80 999.00    99 99.00 99.00
2018 01 03 04 30     2.1 11.40 999.00 27.60 104.1  9.60 999.00    99 99.00 99.00
2018 01 03 05 00     2.1  6.30 999.00 16.30 109.4 12.10 999.00    99 99.00 99.00
2018 01 03 05 30     2.1  5.10 999.00 14.00 108.0 12.50 999.00    99 99.00 99.00
2018 01 03 06 00     2.1  5.10 999.00 13.90 108.0 12.60 999.00    99 99.00 99.00
2018 01 03 06 30     2.1  5.00 999.00 13.90 108.1 12.60 999.00    99 99.00 99.00
2018 01 03 07 00     2.1 99.00 999.00 13.80 107.8 12.60 999.00    99 99.00 99.00
2018 01 03 07 30     2.0 99.00 999.00 13.80 107.6 12.60 999.00    99 99.00 99.00
2018 01 03 08 00     2.0  5.20 999.00 14.60 107.6 12.40 999.00    99 99.00 99.00
