#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2020 01 01 00 00     1.9 15.50 999.00 11.00 121.2 11.30 999.00     6 99.00 99.00
2020 01 01 00 30     2.0 15.40 999.00 11.30 122.1 11.40 999.00     6 99.00 99.00
2020 01 01 01 00     2.0 15.40 999.00 11.40 120.2 11.20 999.00     6 99.00 99.00
2020 01 01 01 30     2.0 15.40 999.00 11.50 120.3 11.20 999.00     6 99.00 99.00
2020 01 01 02 00     2.0 15.30 999.00 11.60 119.6 11.20 999.00     5 99.00 99.00
2020 01 01 02 30     2.0 15.30 999.00 11.80 119.3 11.10 999.00     5 99.00 99.00
2020 01 01 03 00     2.1 15.20 999.00 11.90 119.0 11.10 999.00     5 99.00 99.00
2020 01 01 03 30     2.0 15.20 999.00 12.00 118.6 11.10 999.00     6 99.00 99.00
2020 01 01 04 00     2.1 15.10 999.00 12.00 116.6 10.90 999.00     6 99.00 99.00
2020 01 01 04 30     2.1 15.00 999.00 12.20 115.3 10.80 999.00     5 99.00 99.00
2020 01 01 05 00     2.0 15.00 999.00 12.30 114.3 10.70 999.00     5 99.00 99.00
2020 01 01 05 30     2.0 14.90 999.00 12.30 113.3 10.60 999.00     6 99.00 99.00
2020 01 01 06 00     2.0 14.80 999.00 12.10 110.5 10.40 999.00     6 99.00 99.00
2020 01 01 06 30     2.0 14.80 999.00 12.20 110.5 10.40 999.00     5 99.00 99.00
2020 01 01 07 00     2.0 14.50 999.00  8.50 107.2 10.40 999.00     4 99.00 99.00
2020 01 01 07 30     2.0 14.80 999.00 12.20 110.9 10.40 999.00     5 99.00 99.00
2020 01 01 08 00     2.0 14.40 999.00  8.70 109.8 10.60 999.00     6 99.00 99.00
2020 01 01 08 30     2.0 14.40 999.00  8.80 110.1 10.70 999.00     4 99.00 99.00
2020 01 01 09 00     2.0 14.40 999.00  8.90 109.0 10.50 999.00     4 99.00 99.00
2020 01 01 09 30     2.0 14.40 999.00  9.00 108.5 10.50 999.00     5 99.00 99.00
2020 01 01 10 00     2.0 14.30 999.00  9.00 108.6 10.50 999.00     5 99.00 99.00
2020 01 01 10 30     2.0 14.10 999.00  9.10 108.3 10.50 999.00     5 99.00 99.00
2020 01 01 11 00     1.9 14.40 999.00  8.70 104.9 10.20 999.00     5 99.00 99.00
2020 01 01 11 30     1.9 14.30 999.00  8.40 101.5  9.90 999.00     6 99.00 99.00
2020 01 01 12 00     1.9 14.30 999.00  8.20 100.5  9.80 999.00     6 99.00 99.00
2020 01 01 12 30     1.9 14.20 999.00  8.20 100.4  9.80 999.00     7 99.00 99.00
2020 01 01 13 00     1.9 14.20 999.00  8.10  99.8  9.80 999.00     7 99.00 99.00
2020 01 01 13 30     1.9 14.20 999.00  8.00  99.8  9.80 999.00     8 99.00 99.00
2020 01 01 14 00     1.8 14.20 999.00  8.00  99.9  9.80 999.00     7 99.00 99.00
2020 01 01 14 30     1.8 14.20 999.00  8.10  99.8  9.70 999.00    10 99.00 99.00
2020 01 01 15 00     1.8 14.30 999.00  8.20 100.1  9.80 999.00     7 99.00 99.00
2020 01 01 15 30     1.8 14.20 999.00  8.10 100.4  9.80 999.00     7 99.00 99.00
